u,v,key,osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,rfid_c,rfid,avgspeed,time,bridge,EV1_me,EV1_fr,EV2_me,EV2_fr,dam_EV1_al_segments,dam_EV1_al,dam_EV2_al_segments,dam_EV2_al,name,junction
42002848,3510081992,0,435722626,True,3,N2,trunk,80,False,226.857,"[1, 1607]",1,80.0,0.003,nan,1.0,1.0,1.0,1.0,"[nan, 1364.0]",1364.0,"[nan, 1364.0]",1364.0,nan,nan
42002848,42005643,0,72400805,True,2,N2,trunk,80,False,334.93,"[6, 1608, 1771, 1015, 1016]",4,80.0,0.004,nan,,1.0,,1.0,"[nan, nan, nan, nan, nan]",0.0,"[nan, nan, nan, nan, nan]",0.0,nan,nan
42002848,2832217848,0,"[720205318, 284802951]",True,1,A79,motorway_link,80,False,557.7090000000001,"[1697, 1698, 5, 1772, 1709, 1710, 1900, 1621, 1368, 1370, 1695]",99,80.0,0.007,nan,2.8376068376068377,1.0,3.5080645161290325,1.0,"[5581.0, 9553.0, 2757.0, nan, nan, nan, nan, 2749.0, nan, 2040.0, 4590.0]",27270.0,"[6725.0, 10747.0, 3217.0, nan, nan, nan, nan, 3948.0, nan, 3356.0, 6426.0]",34419.0,nan,nan
42003549,1912827603,0,"[382923864, 215573156]",True,"['2', '3']",A79,motorway,100,False,429.50999999999993,"[1600, 1601, 2, 1732, 933, 1832, 1290, 1739, 1292, 1738, 1295, 1296, 1359, 1754, 1756]",2,100.0,0.004,nan,4.592039800995025,1.0,4.892018779342723,1.0,"[13464.0, 15332.0, nan, 8167.0, 10481.0, 8444.0, 15274.0, 15411.0, 48719.0, 5755.0, 16808.0, 24904.0, 9001.0, nan, nan]",191760.0,"[13464.0, 15332.0, nan, 10209.0, 10500.0, 9703.0, 15174.0, 19263.0, 49064.0, 9043.0, 16808.0, 25816.0, 15002.0, nan, nan]",209378.0,nan,nan
42003549,2119022099,0,"[337060729, 254696086, 7125689, 7125692, 1093098142]",True,2,A2,motorway,100,False,603.4239999999999,"[3, 4, 7, 9, 10, 12, 20, 1558, 1560, 1821, 1822, 934, 1322, 1581, 1352, 1747, 1751, 1758, 1761, 1514, 1007, 1008, 1272]",3,100.0,0.006,"['yes', 'viaduct']",4.51,1.0,4.539823008849558,1.0,"[nan, nan, 12109.0, nan, nan, nan, nan, 2392.0, 5878.0, nan, nan, 8452.0, nan, 8226.0, nan, nan, 7827.0, 11214.0, nan, 15968.0, nan, 12425.0, nan]",84491.0,"[nan, nan, 12109.0, 7222.0, nan, nan, nan, 3402.0, 8565.0, nan, nan, 8452.0, nan, 9287.0, nan, 12102.0, 8453.0, 11214.0, nan, 15968.0, nan, 12425.0, nan]",109199.0,nan,nan
42003549,5284280680,0,425176802,True,4,A2,motorway,100,False,446.129,"[1488, 1752, 1755, 1757, 1759]",111,100.0,0.004,nan,3.2711864406779663,1.0,4.246666666666667,1.0,"[18957.0, 55092.0, 25273.0, 23263.0, 52919.0]",175504.0,"[37141.0, 56117.0, 37301.0, 49848.0, 57329.0]",237736.0,nan,nan
42005643,2178785463,0,294242089,True,1,N2,trunk_link,80,False,416.235,"[1288, 905, 8, 1880, 1781, 1879, 1304]",93,80.0,0.005,nan,,1.0,,1.0,"[nan, nan, nan, nan, nan, nan, nan]",0.0,"[nan, nan, nan, nan, nan, nan, nan]",0.0,nan,nan
42005643,2587147871,0,"[337060740, 337060741, 462397446]",True,1,N2,trunk,"['100', '80']",False,463.95500000000004,"[1602, 1347, 1604, 1603, 1515, 1420, 1421, 1521, 1778, 1779, 1780, 1366, 1531]",97,90.0,0.005,viaduct,3.5390070921985815,1.0,4.6938775510204085,1.0,"[412.0, nan, nan, 1568.0, 1702.0, 1721.0, 1656.0, nan, nan, 880.0, 746.0, 519.0, nan]",9204.0,"[721.0, nan, 1374.0, 2383.0, 1917.0, 1986.0, 2050.0, nan, nan, 1124.0, 746.0, 1263.0, nan]",13564.0,nan,nan
42009257,42010565,0,"[6779692, 587459364, 6779686, 6779687]",True,"['2', '3']",nan,primary,50,False,90.18,"[1568, 1773, 14, 2128, 17, 24]",5,50.0,0.002,yes,3.5833333333333335,1.0,3.923076923076923,1.0,"[nan, 77.0, nan, nan, nan, 83.0]",160.0,"[nan, 91.0, nan, nan, nan, 83.0]",174.0,Nieuwe Limmelderweg,nan
42009257,42012660,0,"[6779728, 1094522126]",True,1,A79,motorway_link,100,False,389.17900000000003,"[1504, 34, 2663, 2414, 15, 1232, 2417, 2418, 19, 2419, 2415, 22, 2416, 25, 1563, 30]",6,100.0,0.004,nan,2.1538461538461537,1.0,3.95,1.0,"[4013.0, 3112.0, nan, 6524.0, nan, nan, 1257.0, 1707.0, nan, 2907.0, 1794.0, 1482.0, 2001.0, nan, nan, 2777.0]",27574.0,"[10391.0, 7469.0, nan, 10873.0, nan, nan, 1257.0, 1707.0, nan, 2180.0, 1888.0, 1482.0, 2735.0, 1244.0, nan, 2777.0]",44003.0,nan,nan
42009257,3475088037,0,340425125,True,1,nan,motorway_link,50,False,8.181,1575,107,50.0,0.0,nan,,1.0,,1.0,[nan],0.0,[nan],0.0,nan,nan
42010565,3475087790,0,241265004,True,1,nan,motorway_link,50,False,8.426,27,7,50.0,0.0,nan,,1.0,,1.0,[nan],0.0,[nan],0.0,nan,nan
42010565,3441582576,0,"[587459368, 337060734]",True,2,nan,primary,50,False,185.361,"[1538, 1540, 1541, 1542, 1543, 1544, 1547, 1548, 1549, 1550, 1551, 1552, 1553, 1938, 1939, 1940, 1937, 28, 1744, 1746]",8,50.0,0.004,nan,2.0714285714285716,1.0,3.210526315789474,1.0,"[nan, nan, 34.0, nan, nan, nan, nan, 32.0, nan, nan, nan, 19.0, nan, nan, nan, nan, 8.0, nan, 30.0, nan]",123.0,"[nan, nan, 41.0, nan, nan, nan, nan, 48.0, nan, nan, nan, 19.0, nan, nan, nan, nan, 8.0, nan, 52.0, nan]",168.0,Nieuwe Limmelderweg,nan
42010565,42012783,0,"[6779730, 587459362]",True,"['2', '1']",A79,motorway_link,100,False,380.95700000000005,"[32, 36, 1701, 1702, 1700, 40, 1769, 2662, 1006, 1233, 2130]",11,100.0,0.004,nan,3.388235294117647,1.0,4.493243243243243,1.0,"[nan, 8315.0, 8003.0, 2407.0, nan, nan, 7862.0, nan, nan, nan, nan]",26587.0,"[nan, 9064.0, 9047.0, 4376.0, nan, 9667.0, 19352.0, nan, nan, nan, nan]",51506.0,nan,nan
