o_node,d_node,origin,destination,lengthDisr,origin_cnt,category,name,lengthNorm,difference
683300823,1934244652,O_56,D_2,796.0509999999999,1509.23569012,special,EV1_me,796.0509999999999,0.0
762948405,1934244652,O_72,D_2,608.413,1494.48296547,special,EV1_me,608.413,0.0
776490175,1934244652,O_43,D_2,2644.8360000000002,1202.6553421,special,EV1_me,,
776513552,1934244652,O_29,D_2,3455.711000000001,1691.79252434,special,EV1_me,,
776513559,1934244652,O_30,D_2,3209.7120000000004,2140.27134323,special,EV1_me,,
1833313103,13037735223,O_105,"D_5,D_6",379.786,889.95633221,special,EV1_me,379.786,0.0
1934233691,1934244652,O_90,D_2,591.7789999999999,939.79366302,special,EV1_me,591.7789999999999,0.0
1934753609,13037735223,O_94,"D_5,D_6",1515.795,1154.41796875,special,EV1_me,,
1934753610,1934244652,O_93,D_2,1542.3750000000002,1504.05272293,special,EV1_me,,
1934771000,13037735222,O_100,D_4,1422.9609999999998,1604.44867325,special,EV1_me,1422.9609999999998,0.0
1934771001,13037735223,O_101,"D_5,D_6",1871.145,1239.31250381,special,EV1_me,1871.145,0.0
1935839847,13037735220,O_33,D_1,593.508,1983.5795536,special,EV1_me,593.508,0.0
1935861369,13037735222,O_65,D_4,1875.7690000000002,1729.80155945,special,EV1_me,1629.832,245.93700000000013
1935869817,13037735222,O_66,D_4,2430.0029999999997,1821.23622513,special,EV1_me,1964.7859999999996,465.2170000000001
2569030739,1934244652,O_57,D_2,441.506,208.30379677,special,EV1_me,441.506,0.0
2593845426,1934244652,O_44,D_2,3747.3650000000016,1892.20948792,special,EV1_me,,
3887805309,13037735222,O_50,D_4,2607.36,1570.91852188,special,EV1_me,2361.423,245.93700000000035
3887805435,13037735222,O_64,D_4,2255.403,1678.15233612,special,EV1_me,2009.4659999999997,245.93700000000013
3930024333,1934244652,O_42,D_2,1536.9219999999996,1122.11662483,special,EV1_me,1536.9219999999996,0.0
4723019416,1934244652,O_91,D_2,759.716,1189.68343163,special,EV1_me,759.716,0.0
4723168145,13037735220,O_46,D_1,1052.094,2258.97821045,special,EV1_me,,
4723204799,1934244652,O_20,D_2,3807.6820000000016,2311.43289948,special,EV1_me,,
4816491860,13037735223,O_104,"D_5,D_6",724.079,408.91734695,special,EV1_me,,
5635142264,13037735223,O_103,"D_5,D_6",1183.253,83.02479362,special,EV1_me,,
5639948227,13037735222,O_87,D_4,3201.6159999999995,40.46790886,special,EV1_me,3201.6159999999995,0.0
5639948232,13037735222,O_85,D_4,2672.15,1363.85136414,special,EV1_me,2672.15,0.0
13037735164,1934244652,"O_0,O_7,O_16",D_2,2543.9670000000006,164.24537754,special,EV1_me,2543.9670000000006,0.0
13037735165,1934244652,O_6,D_2,2582.9670000000006,148.84843063,special,EV1_me,2582.9670000000006,0.0
13037735166,1934244652,O_11,D_2,4718.297,2350.57516479,special,EV1_me,,
13037735169,1934244652,O_15,D_2,2597.7680000000005,413.75548363,special,EV1_me,2597.7680000000005,0.0
13037735170,1934244652,O_17,D_2,2198.493,1478.08180046,special,EV1_me,2198.493,0.0
13037735171,1934244652,O_19,D_2,3723.5220000000018,2325.24543381,special,EV1_me,,
13037735176,1934244652,O_28,D_2,1958.4119999999998,1922.93091011,special,EV1_me,1958.4119999999998,0.0
13037735177,1934244652,O_31,D_2,3467.9490000000014,1439.87953758,special,EV1_me,,
13037735178,13037735220,O_32,D_1,160.0,1558.94218254,special,EV1_me,160.0,0.0
13037735179,13037735220,O_34,D_1,1626.416,1711.49200726,special,EV1_me,1280.8970000000002,345.5189999999998
13037735183,1934244652,O_39,D_2,1836.6670000000001,1072.58284569,special,EV1_me,1674.1249999999998,162.54200000000037
13037735184,1934244652,O_40,D_2,1404.7329999999997,1536.36138153,special,EV1_me,1404.7329999999997,0.0
13037735185,1934244652,O_41,D_2,1303.62,1013.78449821,special,EV1_me,1303.62,0.0
13037735186,13037735220,O_45,D_1,714.1469999999999,2461.33372116,special,EV1_me,,
13037735187,13037735220,O_48,D_1,1777.3329999999999,1715.69475746,special,EV1_me,1777.3329999999999,0.0
13037735190,1934244652,O_54,D_2,2230.5350000000003,1474.05879116,special,EV1_me,1620.876,609.6590000000003
13037735191,1934244652,O_55,D_2,1104.599,1531.52594566,special,EV1_me,1075.406,29.192999999999984
13037735194,13037735220,O_62,D_1,1802.5690000000004,2003.88581848,special,EV1_me,,
13037735197,13037735222,O_70,D_4,3137.4829999999997,1239.84428596,special,EV1_me,3137.4829999999997,0.0
13037735199,1934244652,O_73,D_2,23.0,1638.06154919,special,EV1_me,23.0,0.0
13037735205,13037735222,O_81,D_4,1411.033,1888.91226196,special,EV1_me,1165.0959999999998,245.93700000000013
